scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,koreanRating,koreanDate,koreanAuthor,koreanAuthorKarma,kld
SCP-779-KO,/scp-779-ko,On the Resultant,3.0,18 Jul 2018 03:43,DannyuNDos,medium,+143,25 Jun 2014 05:16,Rvadell,high,0.318173590377
SCP-750-KO,/scp-750-ko,Revenant Soldier,7.0,03 Feb 2018 01:56,Knoth,very high,+16,23 Nov 2017 05:15,rinkaru,high,0.704884178674
SCP-709-KO,/scp-709-ko,Dismembered Eternity,6.0,15 Jan 2018 09:52,Kaestine,very high,+12,29 Jul 2017 04:54,Kaestine,very high,0.577063914337
SCP-521-KO,/scp-521-ko,What is Seeing?,16.0,04 Feb 2018 14:52,Salamander724,guru,+25,07 Jul 2014 16:05,Salamander724,guru,0.396303187014
SCP-505-KO,/scp-505-ko,The Schoolbag,9.0,23 Oct 2017 14:05,Salamander724,guru,+47,14 Jan 2014 17:18,Salamander724,guru,0.136463513405
SCP-380-KO,/scp-380-ko,Now the test begins.,3.0,11 Jul 2018 01:35,DannyuNDos,medium,+47,20 Feb 2014 12:45,barzelets,medium,0.440952096035
SCP-310-KO,/scp-310-ko,Foods From That Far Place,0.0,13 Oct 2018 04:39,DannyuNDos,medium,+22,14 Apr 2013 17:03,zhsao,very high,0.445185727988
SCP-222-KO,/scp-222-ko,A Train in Flames,3.0,22 Oct 2018 14:56,XCninety,very high,+78,06 Jan 2014 22:37,Salamander724,guru,0.562518181747
SCP-185-KO,/scp-185-ko,Visual Novel,9.0,13 Mar 2018 13:34,Knoth,very high,+34,14 Dec 2014 05:58,lanlanmag,very high,0.411676255554
SCP-169-KO,/scp-169-ko,The Volition Wins The Day,1.0,09 Oct 2019 02:18,XCninety,very high,+22,12 Mar 2013 13:19,Cubic72,guru,0.361904976769
SCP-154-KO,/scp-154-ko,Read me before read above,1.0,19 Jul 2018 04:54,Laclale,very high,+1,30 Dec 2017 04:34,dem42,high,0.669614320163
SCP-153-KO,/scp-153-ko,Read me before read below,1.0,19 Jul 2018 04:54,Laclale,very high,+2,30 Dec 2017 04:34,dem42,high,0.669614320163
SCP-113-KO,/scp-113-ko,Eternal Thursday,1.0,27 Jul 2017 13:17,tasteisgone,medium,+30,29 Jun 2017 09:06,thursday113,medium,0.569470814298
SCP-086-KO,/scp-086-ko,Knives for Vegans,1.0,12 Jul 2018 02:18,DannyuNDos,medium,+18,21 Oct 2017 03:24,Anzi,medium,0.394406400075
SCP-079-KO,/scp-079-ko,Containment-longing Shuttles,0.0,08 Jul 2018 09:02,XCninety,very high,"+22,+22,+22,+22",16 Oct 2014 11:13,thd-glasses,guru,0.678966081093
SCP-074-KO,/security-clearance-recheck,You are not me.,,13 Oct 2018 04:25,DannyuNDos,medium,,02 Feb 2013 00:55,Cubic72,guru,None
SCP-071-KO,/scp-071-ko,Streetlight,10.0,23 Oct 2017 14:53,Salamander724,guru,+39,20 Oct 2012 13:22,yjsnpi,none,0.267521848386
