scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,germanRating,germanDate,germanAuthor,germanAuthorKarma
SCP-190-DE,/scp-190-de,"Thor, God of Kebab","+2,+2,+2,+2",24 Feb 2019 18:46,ThePaperMask,very high,"+10,+10,+10,+10",17 Feb 2019 11:53,Dr Ore,guru
SCP-179-DE,/scp-179-de,To the most Righteous,"+5,+5,+5,+5",07 Mar 2019 08:55,Dr Ore,guru,"+5,+5,+5,+5",07 Mar 2019 08:44,Dr Ore,guru
SCP-177-DE,/scp-177-de,The Rungholt Shard,+5,01 Oct 2019 17:04,Tanija,very high,"+5,+5,+5,+5,+5,+5",11 Aug 2019 10:35,Tanija,very high
SCP-188-DE,/scp-188-de,B4 “Blitzgewitter”,+3,22 Nov 2018 12:04,Dr_Grom,guru,"+8,+8,+8,+8",08 Jan 2018 12:10,Dr_Grom,guru
SCP-168-DE,/scp-168-de,A copy of the Fersehturm Berlin,+3,20 Jan 2019 14:20,Dr Ore,guru,"+7,+7,+7,+7",19 Jan 2019 16:42,Dr Ore,guru
SCP-150-DE,/scp-150-de,Die Verteidiger,"+3,+3,+3,+3",30 Nov 2018 21:47,Dr Ore,guru,"+10,+10,+10,+10",23 Aug 2018 17:27,Dr Ore,guru
SCP-149-DE,/scp-149-de,The Spirit of Ruin,"+1,+1,+1,+1",08 Sep 2019 11:07,Dr Ore,guru,"+10,+10,+10,+10",17 Jan 2018 18:36,Dr Ore,guru
SCP-180-DE,/scp-180-de,A little cute Birthdaypenguin,+3,08 Oct 2018 12:32,Dr_scp_Robin,very high,"+8,+8,+8,+8",25 Aug 2018 09:13,Dr_scp_Robin,very high
SCP-125-DE,/scp-125-de,The Imprisoned Regent,+4,05 Aug 2018 16:31,Dr Ore,guru,"+14,+14,+14,+14",15 Jul 2017 22:27,Dr Ore,guru
SCP-124-DE,/scp-124-de,Don't notice me,+1,18 Aug 2018 12:00,Einer von Rabe,guru,"+13,+13,+13,+13",08 Aug 2018 19:05,Einer von Rabe,guru
SCP-098-DE,/scp-098-de,Demon vs Machine,"0,0,0,0",27 Feb 2019 06:42,ThePaperMask,very high,"+12,+12,+12,+12",26 May 2017 10:02,Dr Ore,guru
SCP-099-DE,/scp-099-de,Gasmen,+6,05 Feb 2017 23:20,Dr_Grom,guru,"+14,+14,+14,+14",06 Apr 2016 10:39,Dr_Grom,guru
SCP-096-DE,/scp-096-de,A Cosmic Phenomenon,+8,03 Mar 2018 15:31,ThePaperMask,very high,"+15,+15,+15,+15",10 Oct 2017 17:39,Dr Ore,guru
SCP-089-DE,/scp-089-de,The Athena Project,+6,17 Dec 2017 17:35,Dr Ore,guru,"+9,+9,+9,+9",04 Jun 2017 12:30,Dr Ore,guru
SCP-091-DE,/scp-091-de,The Loving Doll,"+3,+3,+3,+3",24 Feb 2019 20:40,Sonicast,high,"+6,+6,+6,+6",24 Apr 2018 22:12,Einer von Rabe,guru
SCP-076-DE,/scp-076-de,Face-Swap App,+3,21 Jun 2018 06:00,Dr_Grom,guru,"+6,+6,+6,+6",06 Apr 2018 06:01,Doctor-Chaos,none
SCP-070-DE,/scp-070-de,Pink Colony,-2,03 Apr 2017 15:59,Nederbird,high,+8,23 Jul 2016 17:58,ThePencilwriter,very high
SCP-077-DE,/scp-077-de,The Black Widower,+16,26 Mar 2017 17:40,TPS-Geronam,very high,+12,12 Jul 2016 11:46,Rikjard Regreps,very high
SCP-066-DE,/scp-066-de,The little Spellbook,+12,14 Feb 2017 09:28,Dr_Grom,guru,"+19,+19,+19,+19",08 Sep 2016 21:13,Dr_Grom,guru
SCP-058-DE,/scp-058-de,Peaceful Zombies,+1,25 Oct 2017 10:11,Dr_Grom,guru,"+9,+9,+9,+9",08 Jun 2017 10:46,Dr_Grom,guru
SCP-062-DE,/scp-062-de,The Ghost of War,+11,03 Feb 2017 10:29,Dr_Grom,guru,"+8,+8,+8,+8",13 Apr 2016 12:33,Dr_Grom,guru
SCP-042-DE,/scp-042-de,Avoid Containment,+6,24 Apr 2017 10:33,Doctor-Chaos,none,"+15,+15,+15,+15",27 Feb 2017 09:49,Doctor-Chaos,none
SCP-034-DE,/scp-034-de,Shower of dread,+2,01 Sep 2017 07:07,Dr_Grom,guru,"+14,+14,+14,+14",06 Apr 2016 10:35,Dr_Grom,guru
SCP-028-DE,/scp-028-de,Sonderkommando for the paranormal,+7,04 Jul 2018 08:22,Dr_Grom,guru,"+13,+13,+13,+13",02 Jul 2017 21:48,Dr_Grom,guru
SCP-023-DE,/scp-023-de,Illusion-Contact Lenses,+8,16 Jan 2018 11:31,Rikjard Regreps,very high,+23,08 Jul 2016 19:52,Rikjard Regreps,very high
SCP-018-DE,/scp-018-de,The Permit,+12,03 Feb 2017 08:34,Dr_Grom,guru,"+16,+16,+16,+16",18 Oct 2016 10:47,Dr_Grom,guru
SCP-017-DE,/scp-017-de,R.T.I. Grizzly A1,+5,05 Feb 2017 12:32,Dr_Grom,guru,"+10,+10,+10,+10",19 Sep 2016 14:38,Dr_Grom,guru
SCP-015-DE,/scp-015-de,Dr. Duck,+3,19 Sep 2018 07:29,Dr_Grom,guru,+18,15 Aug 2016 12:47,ThePencilwriter,very high
SCP-011-DE,/scp-011-de,Hello!,"+37,+37,+37,+37",09 Feb 2017 15:48,Dr_Grom,guru,+86,19 Sep 2016 13:13,Dr_Grom,guru
