scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,koreanRating,koreanDate,koreanAuthor,koreanAuthorKarma
SCP-779-KO,/scp-779-ko,On the Resultant,+3,18 Jul 2018 03:43,DannyuNDos,medium,+143,25 Jun 2014 05:16,Rvadell,high
SCP-750-KO,/scp-750-ko,Revenant Soldier,+7,03 Feb 2018 01:56,Knoth,very high,+16,23 Nov 2017 05:15,rinkaru,high
SCP-709-KO,/scp-709-ko,Dismembered Eternity,+6,15 Jan 2018 09:52,Kaestine,very high,+12,29 Jul 2017 04:54,Kaestine,very high
SCP-521-KO,/scp-521-ko,What is Seeing?,+16,04 Feb 2018 14:52,Salamander724,guru,+25,07 Jul 2014 16:05,Salamander724,guru
SCP-505-KO,/scp-505-ko,The Schoolbag,+9,23 Oct 2017 14:05,Salamander724,guru,+47,14 Jan 2014 17:18,Salamander724,guru
SCP-380-KO,/scp-380-ko,Now the test begins.,+3,11 Jul 2018 01:35,DannyuNDos,medium,+47,20 Feb 2014 12:45,barzelets,medium
SCP-310-KO,/scp-310-ko,Foods From That Far Place,0,13 Oct 2018 04:39,DannyuNDos,medium,+22,14 Apr 2013 17:03,zhsao,very high
SCP-222-KO,/scp-222-ko,A Train in Flames,+3,22 Oct 2018 14:56,XCninety,very high,+78,06 Jan 2014 22:37,Salamander724,guru
SCP-185-KO,/scp-185-ko,Visual Novel,+9,13 Mar 2018 13:34,Knoth,very high,+34,14 Dec 2014 05:58,lanlanmag,very high
SCP-169-KO,/scp-169-ko,The Volition Wins The Day,+1,09 Oct 2019 02:18,XCninety,very high,+22,12 Mar 2013 13:19,Cubic72,guru
SCP-154-KO,/scp-154-ko,Read me before read above,+1,19 Jul 2018 04:54,Laclale,very high,+1,30 Dec 2017 04:34,dem42,high
SCP-153-KO,/scp-153-ko,Read me before read below,+1,19 Jul 2018 04:54,Laclale,very high,+2,30 Dec 2017 04:34,dem42,high
SCP-113-KO,/scp-113-ko,Eternal Thursday,+1,27 Jul 2017 13:17,tasteisgone,medium,+30,29 Jun 2017 09:06,thursday113,medium
SCP-086-KO,/scp-086-ko,Knives for Vegans,+1,12 Jul 2018 02:18,DannyuNDos,medium,+18,21 Oct 2017 03:24,Anzi,medium
SCP-079-KO,/scp-079-ko,Containment-longing Shuttles,0,08 Jul 2018 09:02,XCninety,very high,"+22,+22,+22,+22",16 Oct 2014 11:13,thd-glasses,guru
SCP-074-KO,/security-clearance-recheck,You are not me.,,13 Oct 2018 04:25,DannyuNDos,medium,,02 Feb 2013 00:55,Cubic72,guru
SCP-071-KO,/scp-071-ko,Streetlight,+10,23 Oct 2017 14:53,Salamander724,guru,+39,20 Oct 2012 13:22,yjsnpi,none
